type,category,prompt
truth,Hypothetical,"If you could change one law in your country, what would it be?"
truth,Hypothetical,"If you could be immortal, would you want to live forever?"
truth,Hypothetical,"If you could have any animal as a pet, which would you pick?"
truth,Hypothetical,"If you could never use one piece of technology again, which would you give up?"
truth,Hypothetical,"If you could change one thing about the world, what would it be?"
truth,Hypothetical,"If you could only travel by one mode of transport for the rest of your life, what would it be?"
truth,Hypothetical,"If you could speak to one historical figure, who would it be?"
truth,Hypothetical,"If you could solve one mystery in the world, what would it be?"
truth,Hypothetical,"If you could live in any fictional world, which one would you choose?"
truth,Hypothetical,"If you could take a year off and travel anywhere, where would you go?"
truth,Hypothetical,"If you could choose any career, but money didn’t matter, what would you do?"
truth,Hypothetical,"If you could change your name, what would you choose?"
truth,Hypothetical,"If you could know the answer to any question, what would you ask?"
truth,Hypothetical,"If you could change one thing about your personality, what would it be?"
truth,Hypothetical,"If you could visit the moon or Mars, which would you prefer?"
truth,Hypothetical,"If you could be the CEO of any company, which would you choose?"
truth,Hypothetical,"If you could switch bodies with anyone in your life for a day, who would it be?"
truth,Hypothetical,"If you could only watch one TV show for the rest of your life, which would it be?"
truth,Hypothetical,"If you could have any job in the world for a month, what would it be?"
truth,Hypothetical,"If you could discover any hidden treasure, what would you want it to be?"
truth,Hypothetical,"If you could be famous for doing something completely random, what would it be?"
truth,Hypothetical,"If you could have any skill from a superhero, which one would you choose?"
truth,Hypothetical,"If you could end one global issue, what would it be?"
truth,Hypothetical,"If you could live without any modern conveniences for a year, would you do it?"
truth,Hypothetical,"If you could stay in one place for the rest of your life, where would it be?"
truth,Hypothetical,"If you could spend a day with any famous person, who would it be?"
truth,Hypothetical,"If you could be an expert in one field, which would you choose?"
truth,Hypothetical,"If you could know the exact date of your death, would you want to know?"
truth,Hypothetical,"If you could visit any country, but never come back, would you do it?"
truth,Hypothetical,"If you could be any profession for a day, what would it be?"
truth,Hypothetical,"If you could control the weather for a day, what would you do?"
truth,Hypothetical,"If you could travel anywhere without limits, where would you go?"
truth,Hypothetical,"If you could stop time for one hour, what would you do with that time?"
truth,Hypothetical,"If you could swap places with someone from history, who would it be?"
truth,Hypothetical,"If you could speak any language fluently, which one would you choose?"
truth,Hypothetical,"If you could have one superpower, what would it be?"
truth,Hypothetical,"If you could time travel, would you visit the past or the future?"
truth,Hypothetical,"If you could live in any era, which one would you choose?"
truth,Hypothetical,"If you could choose one historical figure to meet, who would it be?"
truth,Hypothetical,"If you could be famous for one thing, what would it be?"
truth,Hypothetical,"If you could create a new invention, what would it be?"
truth,Hypothetical,"If you could have dinner with any fictional character, who would it be?"
truth,Hypothetical,"If you could erase one mistake from your life, what would it be?"
truth,Hypothetical,"If you could live anywhere in the world, where would it be?"
truth,Hypothetical,"If you could never feel pain again, would you choose it?"
truth,Hypothetical,"If you could be invisible for a day, what would you do?"
truth,Hypothetical,"If you could experience any historical event firsthand, which one would you choose?"
truth,Hypothetical,"If you could instantly gain any skill, what would it be?"
truth,Hypothetical,"If you could live in any fictional world, which one would you choose?"
truth,Hypothetical,"If you could bring one extinct species back to life, which would it be?"
truth,Hypothetical,"If you could pick any character from a TV show to be your best friend, who would it be?"
truth,Hypothetical,"If you could redesign the human body, what would you change?"
truth,Hypothetical,"If you could only eat one food for the rest of your life, what would it be?"
truth,Hypothetical,"If you could read anyone’s mind for a day, whose would you choose?"
truth,Hypothetical,"If you could control one element (fire, water, earth, air), which would it be?"
truth,Hypothetical,"If you could have any fictional vehicle, which would you choose?"
truth,Hypothetical,"If you could own any building in the world, which one would you pick?"
truth,Hypothetical,"If you could live in the world of any video game, which one would you choose?"
truth,Hypothetical,"If you could master one instrument instantly, which would you pick?"
truth,Hypothetical,"If you could make a law that everyone had to follow, what would it be?"
truth,Hypothetical,"If you could be immortal for a day, what would you do?"
truth,Hypothetical,"If you could stop one global issue, which one would you tackle?"
truth,Hypothetical,"If you could have any mythical creature as a pet, which would you choose?"
truth,Hypothetical,"If you could permanently change your name, what would you choose?"
truth,Hypothetical,"If you could visit any planet in our solar system, which would it be?"
truth,Hypothetical,"If you could ask any question and get a truthful answer, what would you ask?"
truth,Hypothetical,"If you could live without any one modern convenience, what would it be?"
truth,Hypothetical,"If you could have a conversation with your future self, what would you ask?"
truth,Hypothetical,"If you could live in any fictional city, which one would it be?"
truth,Hypothetical,"If you could visit any place on Earth, where would you go?"
truth,Hypothetical,"If you could relive one day from your past, which would it be?"
truth,Hypothetical,"If you could only use one social media platform for the rest of your life, which would you choose?"
truth,Hypothetical,"If you could see one movie for the first time again, which would it be?"
truth,Hypothetical,"If you could instantly travel anywhere in the world, where would you go?"
truth,Hypothetical,"If you could spend a week in any country, where would it be?"
truth,Hypothetical,"If you could witness any event in history, which would it be?"
truth,Hypothetical,"If you could meet any fictional character, who would it be?"
truth,Hypothetical,"If you could be famous for something silly, what would it be?"
truth,Hypothetical,"If you could live a year in another time period, which would you choose?"
truth,Hypothetical,"If you could have any object from a movie, what would it be?"
truth,Hypothetical,"If you could find the meaning of life, would you want to know?"
truth,Hypothetical,"If you could eliminate one fear from your life, what would it be?"
truth,Hypothetical,"If you could live without fear of failure, what would you do?"
truth,Hypothetical,"If you could wake up tomorrow with a new ability, what would it be?"
truth,Hypothetical,"If you could have the perfect vacation, where would you go?"
truth,Hypothetical,"If you could go back to any moment in your life, where would you go?"
truth,Hypothetical,"If you could be best friends with any fictional character, who would it be?"
truth,Hypothetical,"If you could talk to anyone from the past, who would you choose?"
truth,Hypothetical,"If you could instantly be great at any sport, which one would it be?"
truth,Hypothetical,"If you could control your dreams, what would you dream about?"
truth,Hypothetical,"If you could be any character from a book, who would you choose?"
truth,Hypothetical,"If you could invent any kind of technology, what would it be?"
truth,Hypothetical,"If you could switch places with someone famous for a week, who would it be?"
truth,Hypothetical,"If you could make a documentary about anything, what would it be about?"
truth,Hypothetical,"If you could alter one law in your country, which would it be?"
truth,Hypothetical,"If you could be a character in any movie, which one would you pick?"
truth,Hypothetical,"If you could get a glimpse of the future, would you take it?"
truth,Hypothetical,"If you could trade lives with anyone in your family for a day, who would it be?"
truth,Hypothetical,"If you could live anywhere in the world for one year, where would you go?"
truth,Hypothetical,"If you could have a dinner party with any 5 people, dead or alive, who would they be?"
truth,Hypothetical,"If you could live with any fictional family, which one would you choose?"
truth,Hypothetical,"If you could have any object that doesn’t exist in real life, what would it be?"
truth,Hypothetical,"If you could build a house anywhere, where would it be?"
truth,Hypothetical,"If you could play any role in a movie, what would it be?"
truth,Hypothetical,"If you could have an unlimited supply of one thing, what would it be?"
truth,Hypothetical,"If you could rewrite one event in history, what would it be?"
truth,Hypothetical,"If you could time travel to any event in the future, what would you witness?"
truth,Hypothetical,"If you could have dinner with any world leader, past or present, who would it be?"
truth,Hypothetical,"If you could wake up tomorrow with any skill or talent, what would you want?"
truth,Hypothetical,"If you could get rid of one bad habit instantly, which one would it be?"
truth,Hypothetical,"If you could bring any fictional technology into the real world, what would it be?"
truth,Hypothetical,"If you could erase one regret, what would it be?"
truth,Hypothetical,"If you could live as any character from a video game, who would it be?"
truth,Hypothetical,"If you could travel to space, would you do it?"
truth,Hypothetical,"If you could be a part of any historical event, what would it be?"
truth,Hypothetical,"If you could meet your future self, what would you say?"
truth,Hypothetical,"If you could solve any mystery, what would it be?"
truth,Hypothetical,"If you could change anything about your past, what would it be?"
truth,Hypothetical,"If you could only watch one movie for the rest of your life, what would it be?"
truth,Funny,What’s the weirdest thing you’ve ever done to impress someone?
truth,Funny,Have you ever had a fashion disaster? What happened?
truth,Funny,What’s the strangest thing you’ve ever eaten?
truth,Funny,"If you were a superhero, what would your silly weakness be?"
truth,Funny,"If you could swap places with an animal for a day, which one would it be?"
truth,Funny,What’s the most embarrassing thing you’ve done in public?
truth,Funny,What’s a funny habit you have that most people don’t know about?
truth,Funny,What’s the weirdest dream you’ve ever had?
truth,Funny,What’s the silliest thing you’ve ever argued about?
truth,Funny,What’s your funniest childhood memory?
truth,Funny,"If you could prank someone with no consequences, who would it be and what would you do?"
truth,Funny,What’s the worst haircut you’ve ever had?
truth,Funny,"If you could invent a new ice cream flavor, what would it be?"
truth,Funny,"If you could only wear one outfit for the rest of your life, what would it be?"
truth,Funny,What’s the most ridiculous thing you’ve ever heard someone say?
truth,Funny,What’s the weirdest thing you believed as a child?
truth,Funny,What’s your most ridiculous fear?
truth,Funny,What’s the funniest thing that’s happened to you in the last week?
truth,Funny,"If you could only tell jokes for the rest of your life, what kind of jokes would you tell?"
truth,Funny,What’s the funniest video you’ve seen recently?
truth,Funny,What’s your go-to dance move when no one is watching?
truth,Funny,What’s the silliest thing you’ve ever done with friends?
truth,Funny,"If you could make a viral meme, what would it be about?"
truth,Funny,What’s the funniest text message you’ve ever sent or received?
truth,Funny,What’s the most awkward situation you’ve ever been in?
truth,Funny,What’s a weird talent you have that no one knows about?
truth,Funny,What’s the funniest thing you’ve said without thinking?
truth,Funny,What’s the craziest outfit you’ve ever worn out in public?
truth,Funny,"If you could only talk in song lyrics for a day, which song would you choose?"
truth,Funny,What’s the most random thing that’s ever happened to you at work or school?
truth,Funny,What’s the most ridiculous thing you’ve done when you were drunk?
truth,Funny,Have you ever laughed at the wrong moment? What happened?
truth,Funny,"If you could only speak in one accent for the rest of your life, which one would you choose?"
truth,Funny,What’s the weirdest food combination you actually enjoy?
truth,Funny,"If you could have any animal as a pet, which one would it be?"
truth,Funny,What’s the funniest thing that happened on a vacation?
truth,Funny,What’s the funniest nickname you’ve ever had?
truth,Funny,"If you could switch voices with anyone for a day, who would it be?"
truth,Funny,What’s the most awkward thing you’ve overheard?
truth,Funny,What’s your most embarrassing moment in front of a crush?
truth,Funny,What’s the funniest excuse you’ve ever used to get out of something?
truth,Funny,What’s the worst joke you’ve ever told?
truth,Funny,"If you could have a robot do one thing for you every day, what would it be?"
truth,Funny,"If you had to sing in front of a crowd, what song would you choose?"
truth,Funny,What’s the most embarrassing thing you’ve done to try to impress someone?
truth,Funny,What’s the strangest gift you’ve ever received?
truth,Funny,"If you could only wear one color for the rest of your life, which color would it be?"
truth,Funny,What’s the most ridiculous thing you’ve done in front of a celebrity?
truth,Funny,"If you could create a new holiday, what would it celebrate?"
truth,Funny,What’s your go-to funny story when you’re telling a joke?
truth,Funny,What’s the weirdest thing you’ve ever bought online?
truth,Funny,What’s the funniest reaction you’ve ever had to a surprise?
truth,Funny,What’s the weirdest thing you’ve done on a dare?
truth,Funny,What’s the funniest thing your pet has ever done?
truth,Funny,What’s the funniest misunderstanding you’ve had with someone?
truth,Funny,What’s the most ridiculous rumor you’ve ever heard about yourself?
truth,Funny,"If you could live in any fictional world for a week, which one would it be?"
truth,Funny,What’s the weirdest thing you’ve ever done to get out of doing something you didn’t want to?
truth,Funny,"If you could live as a cartoon character for a day, who would it be?"
truth,Funny,What’s the most ridiculous outfit you’ve worn for Halloween?
truth,Funny,"If you could make a hilarious YouTube channel, what would it be about?"
truth,Funny,What’s the funniest or most unexpected thing that’s ever happened during a family gathering?
truth,Funny,What’s the worst piece of advice you’ve ever given?
truth,Funny,What’s the most awkward situation you’ve had on a first date?
truth,Funny,What’s the most random fact you know that is completely useless?
truth,Funny,What’s the silliest thing you do when you’re bored?
truth,Funny,What’s the weirdest thing you’ve ever done to impress someone?
truth,Funny,Have you ever had a fashion disaster? What happened?
truth,Funny,What’s the strangest thing you’ve ever eaten?
truth,Funny,"If you were a superhero, what would your silly weakness be?"
truth,Funny,"If you could swap places with an animal for a day, which one would it be?"
truth,Funny,What’s the most embarrassing thing you’ve done in public?
truth,Funny,What’s a funny habit you have that most people don’t know about?
truth,Funny,What’s the weirdest dream you’ve ever had?
truth,Funny,What’s the silliest thing you’ve ever argued about?
truth,Funny,What’s your funniest childhood memory?
truth,Funny,"If you could prank someone with no consequences, who would it be and what would you do?"
truth,Funny,What’s the worst haircut you’ve ever had?
truth,Funny,"If you could invent a new ice cream flavor, what would it be?"
truth,Funny,"If you could only wear one outfit for the rest of your life, what would it be?"
truth,Funny,What’s the most ridiculous thing you’ve ever heard someone say?
truth,Funny,What’s the weirdest thing you believed as a child?
truth,Funny,What’s your most ridiculous fear?
truth,Funny,What’s the funniest thing that’s happened to you in the last week?
truth,Funny,"If you could only tell jokes for the rest of your life, what kind of jokes would you tell?"
truth,Funny,What’s the funniest video you’ve seen recently?
truth,Funny,What’s your go-to dance move when no one is watching?
truth,Funny,What’s the silliest thing you’ve ever done with friends?
truth,Funny,"If you could make a viral meme, what would it be about?"
truth,Funny,What’s the funniest text message you’ve ever sent or received?
truth,Funny,What’s the most awkward situation you’ve ever been in?
truth,Funny,What’s a weird talent you have that no one knows about?
truth,Funny,What’s the funniest thing you’ve said without thinking?
truth,Funny,What’s the craziest outfit you’ve ever worn out in public?
truth,Funny,"If you could only talk in song lyrics for a day, which song would you choose?"
truth,Funny,What’s the most random thing that’s ever happened to you at work or school?
truth,Funny,What’s the most ridiculous thing you’ve done when you were drunk?
truth,Funny,Have you ever laughed at the wrong moment? What happened?
truth,Funny,"If you could only speak in one accent for the rest of your life, which one would you choose?"
truth,Funny,What’s the weirdest food combination you actually enjoy?
truth,Funny,"If you could have any animal as a pet, which one would it be?"
truth,Funny,What’s the funniest thing that happened on a vacation?
truth,Funny,What’s the funniest nickname you’ve ever had?
truth,Funny,"If you could switch voices with anyone for a day, who would it be?"
truth,Funny,What’s the most awkward thing you’ve overheard?
truth,Funny,What’s your most embarrassing moment in front of a crush?
truth,Funny,What’s the funniest excuse you’ve ever used to get out of something?
truth,Funny,What’s the worst joke you’ve ever told?
truth,Funny,"If you could have a robot do one thing for you every day, what would it be?"
truth,Funny,"If you had to sing in front of a crowd, what song would you choose?"
truth,Funny,What’s the most embarrassing thing you’ve done to try to impress someone?
truth,Funny,What’s the strangest gift you’ve ever received?
truth,Funny,"If you could only wear one color for the rest of your life, which color would it be?"
truth,Funny,What’s the most ridiculous thing you’ve done in front of a celebrity?
truth,Funny,"If you could create a new holiday, what would it celebrate?"
truth,Funny,What’s your go-to funny story when you’re telling a joke?
truth,Funny,What’s the weirdest thing you’ve ever bought online?
truth,Funny,What’s the funniest reaction you’ve ever had to a surprise?
truth,Funny,What’s the weirdest thing you’ve done on a dare?
truth,Funny,What’s the funniest thing your pet has ever done?
truth,Funny,What’s the funniest misunderstanding you’ve had with someone?
truth,Funny,What’s the most ridiculous rumor you’ve ever heard about yourself?
truth,Funny,"If you could live in any fictional world for a week, which one would it be?"
truth,Funny,What’s the weirdest thing you’ve ever done to get out of doing something you didn’t want to?
truth,Funny,"If you could live as a cartoon character for a day, who would it be?"
truth,Funny,What’s the most ridiculous outfit you’ve worn for Halloween?
